"date";"drive_info";"size";"cost";"usd_per_gb"
"1980 January";"Morrow Designs";"26";"5000.00";"193000.00"
"1980 July";"North Star";"18";"4199.00";"233000.00"
"1981 September";"Apple";"5";"3500.00";"700000.00"
"1981 November";"Seagate";"5";"1700.00";"340000.00"
"1981 December";"VR Data Corp.";"6.3";"2895.00";"460000.00"
"1981 December";"Morrow Designs";"10";"2999.00";"300000.00"
"1981 December";"Morrow Designs";"10";"2949.00";"295000.00"
"1981 December";"VR Data Corp.";"19";"5495.00";"289000.00"
"1981 December";"Morrow Designs";"20";"3829.00";"191000.00"
"1981 December";"Morrow Designs";"26";"3949.00";"152000.00"
"1981 December";"Morrow Designs";"26";"3599.00";"138000.00"
"1982 March";"Xebec";"";"";"260000.00"
"1983 December";"Corvus";"6";"1895.00";"316000.00"
"1983 December";"Corvus";"10";"2695.00";"270000.00"
"1983 December";"Xcomp";"10";"1895.00";"190000.00"
"1983 December";"Corvus";"20";"3495.00";"175000.00"
"1983 December";"Davong";"10";"1650.00";"165000.00"
"1983 December";"Xcomp";"16";"2095.00";"131000.00"
"1983 December";"Davong";"21";"2495.00";"119000.00"
"1984 March";"Percom/Tandon";"5";"1399.00";"280000.00"
"1984 March";"";"5";"1349.00";"270000.00"
"1984 March";"Percom/Tandon";"10";"1699.00";"170000.00"
"1984 March";"";"10";"1599.00";"160000.00"
"1984 March";"Percom/Tandon";"15";"2095.00";"140000.00"
"1984 March";"";"15";"1999.00";"133000.00"
"1984 March";"Percom/Tandon";"20";"2399.00";"120000.00"
"1984 March";"";"20";"2359.00";"118000.00"
"1984 May";"Tecmar";"5";"1495.00";"299000.00"
"1984 May";"Corvus";"6";"1695.00";"283000.00"
"1984 May";"Corvus";"11";"2350.00";"214000.00"
"1984 May";"Comrex";"10";"1995.00";"200000.00"
"1984 May";"CTI";"11";"1995.00";"181000.00"
"1984 May";"Davong";"10";"1645.00";"165000.00"
"1984 May";"Corvus";"20";"3150.00";"158000.00"
"1984 May";"Davong";"15";"2095.00";"140000.00"
"1984 May";"Davong";"21";"2495.00";"119000.00"
"1984 May";"Pegasus (Great Lakes)";"10";"1075.00";"108000.00"
"1984 May";"Pegasus (Great Lakes)";"23";"1845.00";"80000.00"
"1985 July";"First Class Peripherals";"10";"710.00";"71000.00"
"1987 October";"Iomega";"10";"899.00";"90000.00"
"1987 October";"Iomega";"20";"1199.00";"60000.00"
"1987 October";"Iomega";"40";"1799.00";"45000.00"
"1988 May";"";"20";"799.00";"40000.00"
"1988 May";"";"30";"995.00";"33000.00"
"1988 May";"";"45";"1195.00";"27000.00"
"1988 May";"";"60";"1795.00";"30000.00"
"1988 May";"";"250";"3995.00";"16000.00"
"1989 March";"Western Digital";"20";"899.00";"53000.00"
"1989 March";"Western Digital";"40";"1199.00";"36000.00"
"1989 September";"";"";"";"12000.00"
"1990 September";"";"";"";"9000.00"
"1991 September";"";"";"";"7000.00"
"1992 September";"";"";"";"4000.00"
"1993 September";"";"";"";"2000.00"
"1994 September";"";"";"";"950.00"
"1995 January";"Seagate";"1000";"849.00";"850.00"
"1995 January";"Seagate";"1700";"1499.00";"880.00"
"1995 January";"Seagate";"2100";"1699.00";"810.00"
"1995 January";"Seagate";"2900";"2899.00";"990.00"
"1995 April";"";"240";"250.00";"1260.00"
"1995 April";"";"420";"320.00";"922.00"
"1995 April";"";"520";"380.00";"884.00"
"1995 April";"";"850";"470.00";"669.00"
"1995 April";"";"1000";"625.00";"756.00"
"1995 April";"";"1200";"680.00";"686.00"
"1996 June 10";"Western Digital";"1600";"399.99";"295.00"
"1996 August 14";"IBM";"1760";"379.99";"263.00"
