transistors,year
47000000,2008
410000000,2008
820000000,2008
228000000,2008
205000000,2008
820000000,2007
582000000,2007
291000000,2006
291000000,2007
167000000,2006
167000000,2007
731000000,2008
152000000,2006
151000000,2006
230000000,2005
376000000,2006
77000000,2003
140000000,2004
140000000,2005
77000000,2004
1720000000,2007
1720000000,2006
1720000000,2005
592000000,2004
410000000,2003
592000000,2003
220000000,2002
25000000,2001
410000000,2004
1900000000,2008
582000000,2006
1328000000,2006
410000000,2007
338000000,2005
125000000,2005
675000000,2005
169000000,2005
125000000,2004
286000000,2002
55000000,2002
110000000,2002
42000000,2001
286000000,2004
178000000,2002
108000000,2002
178000000,2003
55000000,2003
118000000,2006
55000000,2001
42000000,2000
178000000,2004
44000000,2002
44000000,2001
28100000,1999
9500000,1999
28000000,2000
28000000,1999
5000000,1999
28000000,2001
210000000,2008
105000000,2008
7500000,1998
19000000,1998
18900000,1999
28100000,2000
42000000,2002
188000000,2005
44000000,2003
140000000,2002
7500000,1999
7500000,1997
27400000,1999
5500000,1995
5500000,1996
3100000,1993
3300000,1994
4500000,1996
4500000,1997
176000000,2007
3300000,1996
3300000,1995
4500000,1999
4500000,1998
1400000,1992
1600000,1994
1200000,1992
900000,1991
855000,1990
1200000,1989
275000,1988
275000,1985
134000,1982
29000,1979
29000,1978
6500,1976
6000,1974
3500,1972
2300,1971
