"date";"drive.info";"size.MB";"cost";"per.GB"
"1980 January";"Morrow Designs";26;5000;193000
"1980 July";"North Star";18;4199;233000
"1981 September";"Apple";5;3500;7e+05
"1981 November";"Seagate";5;1700;340000
"1981 December";"VR Data Corp.";6,3;2895;460000
"1981 December";"Morrow Designs";10;2999;3e+05
"1981 December";"Morrow Designs";10;2949;295000
"1981 December";"VR Data Corp.";19;5495;289000
"1981 December";"Morrow Designs";20;3829;191000
"1981 December";"Morrow Designs";26;3949;152000
"1981 December";"Morrow Designs";26;3599;138000
"1982 March";"Xebec";NA;NA;260000
"1983 December";"Corvus";6;1895;316000
"1983 December";"Corvus";10;2695;270000
"1983 December";"Xcomp";10;1895;190000
"1983 December";"Corvus";20;3495;175000
"1983 December";"Davong";10;1650;165000
"1983 December";"Xcomp";16;2095;131000
"1983 December";"Davong";21;2495;119000
"1984 March";"Percom/Tandon";5;1399;280000
"1984 March";"";5;1349;270000
"1984 March";"Percom/Tandon";10;1699;170000
"1984 March";"";10;1599;160000
"1984 March";"Percom/Tandon";15;2095;140000
"1984 March";"";15;1999;133000
"1984 March";"Percom/Tandon";20;2399;120000
"1984 March";"";20;2359;118000
"1984 May";"Tecmar";5;1495;299000
"1984 May";"Corvus";6;1695;283000
"1984 May";"Corvus";11;2350;214000
"1984 May";"Comrex";10;1995;2e+05
"1984 May";"CTI";11;1995;181000
"1984 May";"Davong";10;1645;165000
"1984 May";"Corvus";20;3150;158000
"1984 May";"Davong";15;2095;140000
"1984 May";"Davong";21;2495;119000
"1984 May";"Pegasus (Great Lakes)";10;1075;108000
"1984 May";"Pegasus (Great Lakes)";23;1845;80000
"1985 July";"First Class Peripherals";10;710;71000
"1987 October";"Iomega";10;899;90000
"1987 October";"Iomega";20;1199;60000
"1987 October";"Iomega";40;1799;45000
"1988 May";"";20;799;40000
"1988 May";"";30;995;33000
"1988 May";"";45;1195;27000
"1988 May";"";60;1795;30000
"1988 May";"";250;3995;16000
"1989 March";"Western Digital";20;899;53000
"1989 March";"Western Digital";40;1199;36000
"1989 September";"";NA;NA;12000
"1990 September";"";NA;NA;9000
"1991 September";"";NA;NA;7000
"1992 September";"";NA;NA;4000
"1993 September";"";NA;NA;2000
"1994 September";"";NA;NA;950
"1995 January";"Seagate";1000;849;850
"1995 January";"Seagate";1700;1499;880
